date,views,likes,comments,days_old,daily_views,daily_likes,daily_comments,daily_likes_to_views_ratio,daily_comments_to_views_ratio,trend_to_daily_views_ratio,trend_to_daily_likes_ratio,diff_daily_views,diff_daily_likes,diff_daily_comments,trend
2024-05-17,0.9259015548015737,0.8021947081608454,0.21548681175129938,0.5,0.15202378095761687,0.14775438702467608,0.02433291856767593,0.0,0.0,0.0,0.0,0.4510375730564863,0.5393353474320242,0.23578916285250262,11
2024-05-18,0.19640585755621814,0.0,0.5295088801801051,0.4642857142857143,0.0575013592445334,0.03295176538101422,0.06345914558274575,0.0,0.0,0.0,0.0,0.10244600959739994,0.28463242698892244,0.2899749003395837,11
2024-05-19,0.07400134149983595,0.14402063914420954,0.15300592012007003,0.42857142857142855,0.0450094716816462,0.06342686278655352,0.020461772431909303,0.0,0.0,0.0,0.0,0.26539264467497153,0.4783887210473313,0.2022737339435996,11
2024-05-20,0.13556867679482726,0.3338289822375983,0.26868451040884966,0.39285714285714285,0.062140508929502535,0.10749343078921139,0.03829669570026268,0.0,0.0,0.0,0.0,0.32423604937874334,0.496515609264854,0.2672375609035878,11
2024-05-21,0.8090649158625012,0.5748663726955923,0.4394785847299814,0.35714285714285715,0.1974260920276891,0.170014195535957,0.06774505737591595,0.0,0.0,0.0,0.0,0.5589399418363776,0.5211278952668681,0.27963974605049463,13
2024-05-22,0.6187375866385312,0.493592546016188,0.2591233775257789,0.3214285714285714,0.18113439460716568,0.1729137092633423,0.04479469099958523,0.0,0.0,0.0,0.0,0.2578446476193541,0.4416112789526687,0.22368226782814118,11
2024-05-23,0.6101461125064667,0.20917912985281656,0.4746101892770783,0.2857142857142857,0.20297950451613425,0.12591742426530553,0.089727637218305,0.0,0.0,0.0,0.0,0.33360015124150777,0.3750654582074522,0.2961759929130371,12
2024-05-24,0.34436251829874315,0.305470848468166,0.5292531754634648,0.25,0.163802887774494,0.17369899423117582,0.11253974837550118,0.0,0.0,0.0,0.0,0.21238571411332657,0.5014702920443102,0.272552783109405,11
2024-05-25,1.0,0.5627585065405862,0.1415825898440757,0.2142857142857143,0.38564172035302896,0.28659880999124104,0.03705239872805198,0.0,0.0,0.0,0.0,0.7308705638170783,0.5883182275931521,0.167577144544515,9
2024-05-26,0.5539627284996906,0.9768007527386624,0.9006364823925068,0.17857142857142855,0.30172393718214685,0.4956356277749252,0.25328356145444486,0.0,0.0,0.0,0.0,0.12351121640809465,0.7165357502517624,0.4791082238299129,10
2024-05-27,0.038748782123780245,0.004011067992954698,0.3251063120153423,0.14285714285714285,0.15562818359369068,0.16741671448850767,0.11350753490944283,0.0,0.0,0.0,0.0,0.0,0.0,0.0989221910527093,9
2024-05-28,0.1336596507204441,0.6643946426740213,1.0,0.10714285714285714,0.25191230771878775,0.5889939291431333,0.42223143923683115,0.0,0.0,0.0,0.0,0.48146688172994545,1.0,0.5778827698213496,15
2024-05-29,0.1787438371791294,0.34618872079404567,0.9363795547402652,0.07142857142857142,0.37804007569245535,0.56150895526896,0.5284114475321443,0.0,0.0,0.0,0.0,0.5407487259109687,0.40108761329305137,0.3615827550568434,24
2024-05-30,0.23580078727435633,0.22086421019111707,0.3361335779204536,0.03571428571428571,0.6426761272111137,0.7223715606028572,0.2960044241670123,0.0,0.0,0.0,0.0,0.8158835762180774,0.6522860020140987,0.0,100
2024-05-31,0.08174054707734185,0.003978459512410992,0.5809847410989745,0.0,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,1.0,0.8080161127895267,1.0,96
